protein_annotation	regex_label	manual_label	label_id
CHY-type domain-containing protein	proper	proper	2
Pathogenesis-related transcription factor	proper	proper	2
Modular domain immune-type receptor 2	proper	proper	2
Putative capsid protein	proper	proper	2
ElaA protein	proper	proper	2
Accessory gene regulator protein A	proper	proper	2
influenza virus NS1A-binding protein homolog A	proper	proper	2
Putative secondary metabolism biosynthetic enzyme	proper	proper	2
Phage transcriptional repressor	proper	proper	2
uncharacterized protein LOC101492138 isoform X2	proper	uninformative	0
BRO family, N-terminal domain-containing protein	proper	proper	2
Kelch like family member 8	proper	proper	2
DNA ligase 1	proper	proper	2
HK97 family phage major capsid protein/HK97 family phage prohead protease	proper	proper	2
DnaJ-like protein subfamily B member 13	proper	proper	2
tRNA(Met) cytidine acetyltransferase TmcA	proper	proper	2
GIY-YIG/LAGLIDADG	proper	proper	2
Metallo-dependent phosphatase	proper	proper	2
ParB family chromosome partitioning protein	proper	proper	2
Oxidoreductase, 2OG-Fe oxygenase family	proper	proper	2
Unplaced genomic scaffold supercont1.3, whole genome shotgun sequence	uninformative	uninformative	0
Omn10	proper	proper	2
Vicilin antimicrobial peptide	proper	proper	2
Uncharacterized Na(+)/H(+) antiporter C15A10.06	proper	proper	2
Protease FtsH subunit HflC	proper	proper	2
Putative is4eu-1 nv	proper	uninformative	0
Cohesin domain-containing protein	proper	proper	2
Phage terminase, large subunit, PBSX	proper	proper	2
BQ2448_5292 protein	proper	uninformative	0
Vicilin	proper	proper	2
Predicted exonuclease VIII/RecE-like protein	proper	proper	2
CBL-interacting protein kinase 33-like	proper	proper	2
Filamentous phage phiLf protein I	proper	proper	2
Glutathione synthase/ribosomal protein S6 modification enzyme (Glutaminyl transferase)	proper	proper	2
Putative aldehyde dehydrogenase	proper	proper	2
kelch-like protein 2 isoform X1	proper	proper	2
Stress response protein	proper	proper	2
junctional adhesion molecule-like isoform X2	proper	proper	2
Phage DNA Packaging Protein	proper	proper	2
Putative phage head-tail adaptor protein	proper	proper	2
Putative phage capsid related protein	proper	proper	2
Phage DNA replication protein	proper	proper	2
Glr2862 protein	proper	proper	2
Putative Nucleoside 2-deoxyribosyltransferase	proper	proper	2
Appr-1-P processing enzyme family protein	proper	proper	2
Vitamin B12-dependent ribonucleotide reductase	proper	proper	2
Beta-ketoacyl synthase	proper	proper	2
Cyclic 3',5'-adenosine monophosphate phosphodiesterase	proper	proper	2
Transcriptional regulator, LysR-family	proper	proper	2
SBD domain-containing protein	proper	proper	2
T4-like baseplate wedge	proper	proper	2
Phage tail repeat like	proper	proper	2
DNA (cytosine-5-)-methyltransferase 3 alpha a	proper	proper	2
Uncharacterized protein (Competence-and mitomycin-induced)	proper	low	1
Cytidine and deoxycytidylate deaminase	proper	proper	2
Gene transfer agent family protein	proper	uninformative	0
Phosphate starvation-inducible phoH	proper	proper	2
Fibroblast growth factor receptor homolog 2	proper	proper	2
PHD domain-containing protein	proper	proper	2
[ribosomal protein S5]-alanine N-acetyltransferase	proper	proper	2
Similar to serine/threonine protein phosphatase	proper	proper	2
P22_AR_N domain-containing protein	proper	proper	2
Enoylreductase	proper	proper	2
MurNAc-LAA domain-containing protein	proper	proper	2
deoxycytidylate deaminase-like isoform X1	proper	proper	2
YqaJ viral recombinase protein	proper	proper	2
SNF family helicase	proper	proper	2
Putative leucine-zipper-like transcriptional regulator 1	proper	proper	2
GPKOW	proper	proper	2
DNA repair and recombination protein RadB	proper	proper	2
DUF4747 family protein	low informative	low	1
Hth-type transcriptional regulator	proper	proper	2
Conidial yellow pigment biosynthesis polyketide synthase nscA	proper	proper	2
Streptomycin biosynthesis protein StrI	proper	proper	2
Orf933	uninformative	uninformative	0
Acyl-homoserine-lactone acylase	proper	proper	2
DNA polymerase III subunit delta	proper	proper	2
ABC transmembrane type-1 domain-containing protein	proper	proper	2
Response regulator protein VraR	proper	proper	2
NTP pyrophosphatase (Non-canonical NTP hydrolase)	proper	proper	2
cell surface glycoprotein CD200 receptor 2-like	proper	proper	2
ATP-dependent zinc metalloprotease YME1-like protein	proper	proper	2
Unplaced genomic scaffold K443scaffold_24, whole genome shotgun sequence	uninformative	uninformative	0
Predicted phosphoesterase	proper	proper	2
uncharacterized protein LOC108850558	uninformative	uninformative	0
AA_kinase domain-containing protein	proper	proper	2
Flavoredoxin Flr	proper	proper	2
Type VI secretion system secreted protein VgrG	proper	proper	2
Epimerase domain-containing protein	proper	proper	2
SNF2 helicase	proper	proper	2
Phage DNA transposition protein	proper	proper	2
Phage head-tail joining protein	proper	proper	2
Putative holliday junction resolvase RusA	proper	proper	2
Transcriptional regulator with XRE-family HTH domain	proper	proper	2
Putative nuclease SbcCD subunit C	proper	proper	2
Cartilage oligomeric matrix protein	proper	proper	2
Peroxiredoxin	proper	proper	2
DUF488 family protein	low informative	low	1
Late control gene D protein (GPD)	proper	proper	2
Putative Mov34/MPN/PAD-1 family protein	proper	proper	2
Phosphoesterase, DHH family protein	proper	proper	2
DUF2800 domain-containing protein	low informative	low	1
SNF2 family N-terminal domain protein	proper	proper	2
V-set domain-containing T-cell activation inhibitor 1-like protein	proper	proper	2
Dynein-like protein 11	proper	proper	2
Concanavalin A-like lectin/glucanase domain-containing protein	proper	proper	2
ClpP family protease	proper	proper	2
Gll0587 protein	proper	uninformative	0
NADH-dependent phenylglyoxylate dehydrogenase subunit epsilon	proper	proper	2
ATP-dependent RecD-like DNA helicase	proper	proper	2
Hydrolase isochorismatase family	proper	proper	2
Fe2+/Zn2+ uptake regulation proteins	proper	proper	2
Poly(A) polymerase	proper	proper	2
Putative head portal protein	proper	proper	2
S-DNA-T family DNA segregation ATPase	proper	proper	2
Prophage endopeptidase	proper	proper	2
Putative LAGLIDADG endonuclease	proper	proper	2
Putative UDP-kanosamine synthase oxidoreductase subunit	proper	proper	2
Putative mitochondrial chaperone BCS1	proper	proper	2
Metal transporter Nramp2-like	proper	proper	2
Nuclear protein ZAP, related protein, putative	proper	proper	2
Putative peptide chain release factor C12orf65, mitochondrial	proper	proper	2
Hypoth_Ymh domain-containing protein	proper	uninformative	0
H domain protein	proper	proper	2
O-phosphoserine phosphohydrolase	proper	proper	2
Putative helicase domain/type III restriction enzyme	proper	proper	2
Major capsid protein HK97	proper	proper	2
Metallopeptidase SprT	proper	proper	2
Phosphate starvation-inducible ATPase phoH	proper	proper	2
Transcriptional regulator, IclR family	proper	proper	2
Putative Phage integrase	proper	proper	2
Uncharacterized protein COG3236	uninformative	uninformative	0
Phosphopantothenatecysteine ligase	proper	proper	2
Putative DNA repair exonuclease	proper	proper	2
Putative transcription factor PML	proper	proper	2
F-box protein 42	proper	proper	2
Gp29	uninformative	uninformative	0
Pre-rRNA-processing protein PNO1	proper	proper	2
Putative Transposon Ty3-I Gag-Pol polyprotein	proper	proper	2
Putative three prime repair exonuclease 1	proper	proper	2
Mutator mutT protein (7,8-dihydro-8-oxoguanine-triphosphatase)	proper	proper	2
Putative GNAT acetyltransferase	proper	proper	2
Integrase/recombinase XerC	proper	proper	2
Phage-like element PBSX protein XkdK	proper	proper	2
P-loop NTPase domain-containing protein	proper	proper	2
SPRY domain-containing protein	proper	proper	2
Glycosyl hydrolase family 31	proper	proper	2
Putative phiE125 gp8 family phage protein	proper	uninformative	0
Oligosaccharide repeat unit polymerase Wzy	proper	proper	2
SCP2 sterol-binding domain-containing protein	proper	proper	2
Sak2	proper	proper	2
Methyl-accepting chemotaxis protein 2	proper	proper	2
DUF5011 domain-containing protein	low informative	low	1
Asparagine synthetase (Glutamine-hydrolyzing)	proper	proper	2
Imidazoleglycerol-phosphate dehydratase	proper	proper	2
ATPase family gene 2 protein	proper	proper	2
deoxycytidylate deaminase-like isoform X2	proper	proper	2
Penicillin-binding protein	proper	proper	2
Putative Rhs element Vgr protein	proper	proper	2
RecA DNA recombination family protein	proper	proper	2
Mte8-like protein	proper	proper	2
PEX6 factor	proper	proper	2
Kazal-like domain-containing protein	proper	proper	2
Repressor protein CI	proper	proper	2
Adenylyltransferase/cytidyltransferase family protein	proper	proper	2
Putative tail tip fiber protein	proper	proper	2
Homeobox protein Meis2	proper	proper	2
Hypothetical Gifsy-1 prophage	proper	uninformative	0
Lymphoid specific helicase, putative	proper	proper	2
ATP-dependent RNA ligase	proper	proper	2
6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4	proper	proper	2
Terminase small subunit family protein	proper	proper	2
GOLD domain-containing protein	proper	proper	2
NadR-like protein	proper	proper	2
FG-GAP repeat-containing protein	proper	proper	2
uncharacterized protein LOC106578011 isoform X2	proper	uninformative	0
Hypothetical protease	proper	proper	2
Related to FUN30-protein important for chromosome integrity and segregation	proper	proper	2
Putative Baseplate J family protein	proper	proper	2
DUF362 domain-containing protein	low informative	low	1
M67 family metallopeptidase	proper	proper	2
Nicotinamide-nucleotide adenylyltransferase	proper	proper	2
DUF4907 domain-containing protein	low informative	low	1
Globin	proper	proper	2
Putative metallopeptidase domain containing protein	proper	proper	2
SPbeta prophage-derived putative HNH homing endonuclease YosQ	proper	proper	2
DNA-directed DNA polymerase I	proper	proper	2
Phage nin-region protein	proper	proper	2
ribonucleoside-diphosphate reductase subunit M2-like isoform X2	proper	proper	2
erlin-2-B-like	proper	proper	2
Protein recA, plasmid (Recombinase A) (RecaLP)	proper	proper	2
Putative gamma-glutamylcyclotransferase	proper	proper	2
Phage head-tail joining family protein	proper	proper	2
Type VI secretion system needle protein Hcp	proper	proper	2
Dna primase small subunit	proper	proper	2
Putative baseplate structural protein	proper	proper	2
Putative GpT-like prophage major head subunit protein	proper	proper	2
SOS-response transcriptional repressor, LexA	proper	proper	2
YfdR protein	proper	proper	2
Putative heat shock protein	proper	proper	2
D-lyxose/D-mannose family sugar isomerase	proper	proper	2
Putative DNA repair and recombination protein RecA	proper	proper	2
Exonuclease sbcc, putative	proper	proper	2
Nuclease (SNase-like)	proper	proper	2
Metallophos domain-containing protein	proper	proper	2
PF14301 domain protein	proper	low	1
Attractin-like protein 1	proper	proper	2
ParB domain protein nuclease	proper	proper	2
Sorbin and SH3 domain containing 2	proper	proper	2
DNA topoisomerase 4 subunit B	proper	proper	2
DNA phosphorothioation-dependent restriction protein DptF	proper	proper	2
Tub	proper	proper	2
Putative prohibitin	proper	proper	2
Putative NinG protein	proper	proper	2
Recombination protein MgsA	proper	proper	2
Putative hydrolase, NUDIX family	proper	proper	2
5'-deoxynucleotidase SAMN04488244_13015	proper	proper	2
Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid	proper	proper	2
Ribose-phosphate pyrophosphokinase 5	proper	proper	2
GPW/gp25	proper	proper	2
probable inactive ATP-dependent zinc metalloprotease FTSHI 3, chloroplastic	proper	proper	2
Trans-sialidase	proper	proper	2
Predicted transcriptional regulators	proper	proper	2
T2SS-T3SS_pil_N domain-containing protein	proper	proper	2
Chitinase A1	proper	proper	2
Toxin-antitoxin system, antitoxin component, ribbon-helix-helix domain protein	proper	proper	2
Putative GTP pyrophosphokinase	proper	proper	2
Bacillopeptidase F	proper	proper	2
Replication-associated recombination protein A	proper	proper	2
IclR-family regulator	proper	proper	2
Ectodermal-neural cortex 1	proper	proper	2
Putative orphan protein	proper	uninformative	0
kelch domain-containing protein 8A-like isoform X2	proper	proper	2
Protein NtpR	proper	proper	2
Zinc knuckle	proper	proper	2
Adenine-specific DNA methylase	proper	proper	2
Putative signaling protein CC_0091	proper	proper	2
chromodomain-helicase-DNA-binding protein 1-like isoform X2	proper	proper	2
Leukotoxin	proper	proper	2
germin-like protein subfamily 1 member 13	proper	proper	2
Mlr8530 protein	proper	uninformative	0
3'-to-5' oligoribonuclease B	proper	proper	2
Putative SWI/SNF-related matrix-associated actin-dependent regulator of chromatin-like	proper	proper	2
EAL/GGDEF domain protein	proper	low	1
SPP1 family phage head morphogenesis protein	proper	proper	2
Inositol-tetrakisphosphate 1-kinase	proper	proper	2
Putative TROVE domain containing protein	proper	proper	2
5'-nucleotidase	proper	proper	2
Nucleoid-associated protein C1M53_11155	proper	proper	2
E3 ubiquitin- ligase PDZRN3-like	proper	proper	2
Sai integrase	proper	proper	2
23S rRNA (Adenine-N6)-dimethyltransferase	proper	proper	2
Epimerase_2 domain-containing protein	proper	proper	2
DNA repair protein	proper	proper	2
Putative metal dependent phosphohydrolase	proper	proper	2
Putative prophage major capsid protein	proper	proper	2
Lytic transglycosylase F	proper	proper	2
3'-5' exonuclease, PolB	proper	proper	2
FAD-binding PCMH-type domain-containing protein	proper	proper	2
Poly(3-hydroxybutyrate) depolymerase	proper	proper	2
23S ribosomal RNA methyltransferase Erm	proper	proper	2
Peptidase S74	proper	proper	2
Type III restriction enzyme, res subunit family	proper	proper	2
Acyl-CoA-binding domain-containing protein 4	proper	proper	2
Transmembrane p24 trafficking protein 6	proper	proper	2
HTH-type transcriptional regulator CysL	proper	proper	2
Capsid protein CP67	proper	proper	2
NADH pyrophosphatase	proper	proper	2
Putative LysR family transcriptional regulator YafC	proper	proper	2
B7 like protein 6	proper	proper	2
Putative polysacchide deacetylase	proper	proper	2
HNHc domain-containing protein	proper	proper	2
DNA-binding transcriptional regulator, CsgD family	proper	proper	2
Putative KTI12 protein	proper	proper	2
Bifunctional DNA-binding transcriptional repressor/ NMN adenylyltransferase	proper	proper	2
Putative phage protein, putative large terminase	proper	proper	2
Exodeoxyribonuclease V alpha chain (Modular protein)	proper	proper	2
Amidotransferase 1, exosortase A system-associated	proper	proper	2
Rab9 effector protein with kelch motif isoform C	proper	proper	2
GTP cyclohydrolase 1	proper	proper	2
Putative Phage portal protein, HK97 family	proper	proper	2
26S protease regulatory subunit 8, variant 2	proper	proper	2
Putative structural component of prophage	proper	proper	2
Adenylylsulfate kinase and related kinase-like protein	proper	proper	2
IclR-family protein transcriptional regulator	proper	proper	2
Recombinase RdgC	proper	proper	2
LAFE_0H02674g1_1	proper	uninformative	0
Phage Cro/CI transcriptional regulator	proper	proper	2
Chaperonin-like protein MimG	proper	proper	2
Serine/threonine protein phosphatase	proper	proper	2
Putative ATPase, AAA_5	proper	proper	2
Klhl20 protein	proper	proper	2
RNA polymerase, sigma-24 subunit, ECF subfamily	proper	proper	2
Viral (Superfamily 1) RNA helicase	proper	proper	2
Probable transcriptional regulatory protein YehT	proper	proper	2
Putative DEAD box family helicase, phage associated	proper	proper	2
F-box/kelch-repeat protein SKIP11	proper	proper	2
Spore_coat_protein_CotF	proper	proper	2
Phage late control gene D protein GPD	proper	proper	2
Uvs068	proper	uninformative	0
Helicase conserved C-terminal domain-containing protein	proper	proper	2
DUF4031 domain-containing protein	low informative	low	1
Ribonuclease H1	proper	proper	2
Predicted ABC-type ATPase	proper	proper	2
Intron orf	proper	uninformative	0
ASH domain-containing protein	proper	proper	2
DnaB C-terminal domain-containing protein	proper	proper	2
Prophage LambdaSa04, DNA polymerase family protein	proper	proper	2
SPASM domain-containing protein	proper	proper	2
Alpha-ketoglutarate-dependent hydroxylase	proper	proper	2
HB1, ASXL, restriction endonuclease HTH domain	proper	proper	2
Transmembrane cell adhesion receptor mua-3	proper	proper	2
Cell division protein DedD	proper	proper	2
DNA-directed RNA polymerase subunit A''	proper	proper	2
Putative DHH phosphatase family protein	proper	proper	2
PF12686 family protein	proper	low	1
Signal recognition particle 54 kDa protein, chloroplastic	proper	proper	2
L-iditol 2-dehydrogenase/L-idonate 5-dehydrogenase	proper	proper	2
kelch-like protein 29 isoform X1	proper	proper	2
Conjugative relaxase domain-containing protein, TrwC/TraI family	proper	proper	2
IS21 family transposase ISRme9	proper	proper	2
Primosomal replication protein N	proper	proper	2
Synaptotagmin-1	proper	proper	2
Putative ABC transporter	proper	proper	2
Endonuclease/Exonuclease/phosphatase family protein	proper	proper	2
Bacteriophage lambda NinG family protein	proper	proper	2
Putative tail component encoded by cryptic prophage CP-933M	proper	proper	2
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1	proper	proper	2
Putative SPP1 family predicted phage head-tail adaptor	proper	proper	2
Holin (3TMs family)	proper	proper	2
RelE family toxin-antitoxin system	proper	proper	2
Structural phage protein	proper	proper	2
PQQ-dependent sugar dehydrogenase	proper	proper	2
3-methyladenine DNA glycosidase	proper	proper	2
Atpase associated with various cellular activities	proper	proper	2
A118 family predicted phage portal protein	proper	proper	2
DNA polymerase bacteriophage-type	proper	proper	2
Bacteriophage lambda gpz minor tail	proper	proper	2
Thioredoxin-like_fold domain-containing protein	proper	proper	2
Possible glycohydrolase	proper	proper	2
Minor tail family protein M	proper	proper	2
PI-PLC Y-box domain-containing protein	proper	proper	2
Tail/DNA circulation protein	proper	proper	2
Cro/CI family transcriptional regulator	proper	proper	2
Response regulator receiver	proper	proper	2
Kelch motif	proper	proper	2
S-ribosylhomocysteine lyase	proper	proper	2
Type IV fimbrial biogenesis protein FimT	proper	proper	2
ExeAgspA	proper	proper	2
Bacteriophage terminase large subunit	proper	proper	2
Ribonucleotide reductase M2 [Bos mutus]	proper	proper	2
CD40 ligand	proper	proper	2
F-box protein At3g54460-like	proper	proper	2
Guanosine-3',5'-bis(Diphosphate) 3'-diphosphatase	proper	proper	2
Cell division cycle 48	proper	proper	2
Mitochondroal chaperone, putative	proper	proper	2
Phage coat protein	proper	proper	2
Putative hydrogen peroxide-inducible genes activator	proper	proper	2
DNA packaging Nu1	proper	proper	2
Homeodomain-like domain-containing protein	proper	proper	2
Cfr family radical SAM enzyme	proper	proper	2
Phosphoethanolamine N-methyltransferase	proper	proper	2
KLH29	proper	proper	2
Lipopolysaccharide biosynthesis protein	proper	proper	2
YjbE family integral membrane protein	proper	proper	2
DNA excision repair protein SNF2, putative	proper	proper	2
