protein_annotation	regex_label	manual_label	note
Delta-60 repeat domain-containing protein	proper	proper	
Next to BRCA1 central domain-containing protein	proper	uninformative	
Morc family cw-type zinc finger protein 3	proper	proper	
Kelch 3	proper	proper	
UPF0200 protein Mthe_1012	proper	low	
Alpha-L-glutamate ligase, RimK family, ribosomal protein S6 modification protein	proper	proper	
BLUF domain-containing protein	proper	proper	
AAA-domain-containing protein	proper	proper	
ECF sigma factor	proper	proper	
Bacteriophage CI repressor N-terminal domain-containing protein	proper	proper	
6-phosphofructo-2-kinase/fructose-2, 6-biphosphatase 1	proper	proper	
3-oxoacyl-(Acyl-carrier-protein) reductase FabG (EC 1.1.1.100)	proper	proper	
(S)-2-haloacid dehalogenase (EC 3.8.1.2) (2-haloalkanoic acid dehalogenase) (Halocarboxylic acid halidohydrolase) (L-2-haloacid dehalogenase)	proper	proper	
GTP pyrophosphokinase/Guanosine-3',5'-bis(Diphosphate) 3'-pyrophosphohydrolase	proper	proper	
Hypothethical protein	uninformative	uninformative	
Methyl-accepting/DNA response regulator, putative	proper	proper	
LysR family transcriptional regulator for bpeEF and oprC	proper	proper	
DNA-methyltransferase-like protein	proper	proper	
ATP-dependent helicase (DEAD/DEAH box helicase)	proper	proper	
Kelch like family member 23	proper	proper	
ATP-dependent protease hslV, putative	proper	proper	
Methyltransferase domain-containing protein	proper	proper	
"Terminase, large subunit (DNA-packaging protein gp2) [Includes: Endonuclease (EC 3.1.21.-); ATPase (EC 3.6.4.-)]"	proper	proper	
dTDP-fucosamine acetyltransferase (EC 2.3.1.210)	proper	proper	
Cytochrome P450, family 72, subfamily A, polypeptide 8	proper	proper	
Phage major tail, phi13 family protein (Phage tail protein)	proper	proper	
Chromosome undetermined scaffold_1, whole genome shotgun sequence	uninformative	uninformative	
Acyl carrier protein	proper	proper	
Mu transposase/integrase	proper	proper	
Putative deoxyribonuclease	proper	proper	
Rhs protein-like protein	proper	proper	
AFG31	proper	proper	mouse gene name with function attached
GatB/YqeY domain protein	proper	proper	
Phage protein (Putative bacteriophage-related protein)	proper	uninformative	
Phage-encoded peptidoglycan binding protein	proper	proper	
Ring canal kelch protein	proper	proper	
Ectodysplasin-A isoform X3	proper	proper	
Acyl-homoserine lactone acylase PvdQ, quorum-quenching (EC 3.5.1.-)	proper	proper	
MCM domain-containing protein	proper	proper	
Uronate dehydrogenase (EC 1.1.1.203) (D-galacturonate dehydrogenase) (D-glucuronate dehydrogenase) (Hexuronate dehydrogenase)	proper	proper	
Kelch 10	proper	proper	
DUF4840 domain-containing protein	low informative	low	
GL21811	proper	proper	
DnaJ homolog subfamily B member 13	proper	proper	
Putative ATP-dependent DNA helicase CHR12	proper	proper	
DNA topoisomerase (ATP-hydrolyzing) (EC 5.6.2.2)	proper	proper	
GATA Zn-finger-containing transcription factor	proper	proper	
S-DNA-T family DNA segregation ATPase	proper	proper	
RNA polymerase alpha subunit domain-containing protein	proper	proper	
NlaXM protein	proper	proper	
Inositol-1,3,4-trisphosphate 5/6-kinase	proper	proper	
Colicin import membrane protein	proper	proper	
Ubiquitin carboxyl-terminal hydrolase RPN11 (EC 3.4.19.12) (26S proteasome regulatory subunit RPN11) (Protein MPR1)	proper	proper	
Diglucosylglycerate octanoyltransferase	proper	proper	
Putative prophage LambdaSo, host specificity protein J	proper	proper	
DNA repair protein RAD5 (EC 3.6.4.-)	proper	proper	
Phospholipase/carboxylesterase/thioesterase domain-containing protein	proper	proper	
Aste57867_21418 protein	proper	proper	
Protein RecA-like	proper	proper	
Origin of replication binding protein	proper	proper	
Kelch repeat and BTB domain-containing protein	proper	proper	
SprT family protein	proper	proper	
Capsid and scaffold protein	proper	proper	
Transcriptional repressor pyocin R2_PP	proper	proper	
DNA repair protein recA homolog 2, mitochondrial isoform X2	proper	proper	
SPBc2 prophage-derived putative HNH homing endonuclease YosQ (Modular protein) (EC 3.1.-.-)	proper	proper	
SH3 domain protein	proper	proper	
Sti1 protein	proper	proper	
Late control protein D protein	proper	proper	
Integrin alpha-M-like	proper	proper	
Chromodomain-helicase-DNA-binding protein 7	proper	proper	
Erythroid membrane-associated protein isoform X1	proper	proper	
LruC domain-containing protein	proper	proper	
Phage tail tape measure protein	proper	proper	
RuBisCO large subunit-binding protein subunit alpha, chloroplastic	proper	proper	
Nif11 domain-containing protein	proper	proper	
ParB partition protein	proper	proper	
GDSL-esterase	proper	proper	
Related to guanosine-3',5'-bis(Diphosphate) 3'-pyrophosphohydrolase	proper	proper	
Fe2+/Zn2+ uptake regulation proteins	proper	proper	
DNA recombination/repair protein RecA/RadB, ATP-binding domain containing protein	proper	proper	
von Willebrand factor, type A	proper	proper	
Putative deoxycytidine deaminase	proper	proper	
Uncharacterized membrane protein YjbE (Modular protein)	proper	low	
DNA repair exonuclease	proper	proper	
RlpA-like protein	proper	proper	
DNA repair protein RAD5A	proper	proper	
Phage tail protein (Putative tail fiber protein)	proper	proper	
Cell cycle checkpoint control protein rad9a	proper	proper	
Tyrosine recombinase XerC	proper	proper	
Tropinone reductase I	proper	proper	
Putative 2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	proper	proper	
Marine sediment metagenome DNA, contig: S06H3_S07871	proper	uninformative	
Replication protein C-like	proper	proper	
DUF2828 family protein	low informative	low	
Thiol-disulfide isomerase	proper	proper	
Predicted ABC-type ATPase	proper	proper	
Putative phage host specificity protein	proper	proper	
DUF2158 domain-containing protein	low informative	low	
KTI12-like protein	proper	proper	
Mitochondrial genome maintenance exonuclease 1-like protein	proper	proper	
DNA polymerase III, epsilon subunit or related 3'-5' exonuclease	proper	proper	
Brix domain-containing protein	proper	proper	
Ribonucleoside-diphosphate reductase large chain, putative (EC 1.17.4.1)	proper	proper	
Bifunctional riboflavin kinase/FMN adenylyltransferase (EC 2.7.1.26) (EC 2.7.7.2)	proper	proper	
20S proteasome subunit beta type-1	proper	proper	
DNA polymerase sliding clamp (Proliferating cell nuclear antigen, N-terminal domain protein)	proper	proper	
T4-like virus tail tube protein gp19	proper	proper	
Putative Replication P family protein	proper	proper	
Phosphomevalonate kinase (PMKase) (EC 2.7.4.2)	proper	proper	
Protein bric-a-brac 2	proper	proper	
Phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase (CoaBC, dfp) (EC 4.1.1.36)	proper	proper	
DNA repair protein RAD51 homolog 3 (R51H3) (RAD51 homolog C) (RAD51-like protein 2)	proper	proper	
PAR14	proper	proper	
Related to promoter binding protein RUSH-1alpha	proper	proper	
DUF3494 domain-containing protein	low informative	low	
DNA polymerase nu like protein	proper	proper	
PolyA polymerase family protein	proper	proper	
DNAJ heat shock family protein	proper	proper	
G	proper	uninformative	
Response regulatory domain-containing protein	proper	proper	
SPP1 family predicted phage head-tail adaptor	proper	proper	
DNA primase TraC (EC 2.7.7.-)	proper	proper	
5'(3')-deoxyribonucleotidase, mitochondrial	proper	proper	
Putative coiled-coil protein from phage origin	proper	low	
Potassium transporter CPA	proper	proper	
Transcriptional regulatory protein YpdB	proper	proper	
rRNA biogenesis protein rrp5	proper	proper	
Prophage Lp4 protein 3, phage family repressor	proper	proper	
Origin recognition complex subunit 2	proper	proper	
HAD hydrolase-like protein	proper	proper	
Integrin alpha-M (CD11 antigen-like family member B) (CR-3 alpha chain) (Cell surface glycoprotein MAC-1 subunit alpha) (Leukocyte adhesion receptor MO1) (CD antigen CD11b)	proper	proper	
THH1/TOM1/TOM3 domain-containing protein	proper	proper	
Tyrosine-protein phosphatase domain-containing protein	proper	proper	
Coagulation factor 5/8 type domain-containing protein	proper	proper	
Antirepressor domain protein	proper	proper	
Vicilin GC72-A-like	proper	proper	
DNA translocase FtsK	proper	proper	
Uncharacterized protein y4nG	uninformative	uninformative	
Lipase/acylhydrolase domain protein	proper	proper	
N-acetylneuraminic acid synthase N-terminal domain-containing protein	proper	proper	
Fur-regulated protein	proper	proper	
Putative holliday junction resolvase	proper	proper	
Putative Cell division protein FtsH (EC 3.4.24.-)	proper	proper	
3-dehydrosphinganine reductase (EC 1.1.1.102)	proper	proper	
Transfer Agent prohead protease	proper	proper	
MoxR family ATPase	proper	proper	
Enoyl CoA hydratase/isomerase (Crotonase) (EC 4.2.1.17)	proper	proper	
Aminotransferase class V	proper	proper	
Site-specific recombinase, phage integrase protein	proper	proper	
tRNA ligase phosphodiesterase domain-containing protein	proper	proper	
Putative cell wall hydrolase	proper	proper	
Chromatin-remodeling complex ATPase chain Iswi-like	proper	proper	
Bacteriophage P2-like protein	proper	uninformative	P2 is a whole phage, so no clue to which protein this would refer to
Uncharacterized LOC115059061	proper	uninformative	
2',3'-cyclic-nucleotide 3'-phosphodiesterase (EC 3.1.3.2) (EC 3.1.3.48) (EC 3.1.4.37)	proper	proper	
Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (Adenylate cyclase-stimulating G alpha protein)	proper	proper	
AAA-ATPase At5g57480-like	proper	proper	
Transcription regulator iclr n-terminal	proper	proper	
DNA gyrase subunit A, chloroplast/mitochondrial, putative (EC 5.99.1.3)	proper	proper	
Putative Transcriptional regulator, LysR family	proper	proper	
Putative phage exodeoxyribonuclease	proper	proper	
Hypothetical oxidoreductase yciK (EC 1.-.-.-)	proper	proper	
Atp/GTP-binding protein, mmyx	proper	proper	
Putative F-box only protein 18-like	proper	proper	
HTH-type transcriptional regulator YiaJ	proper	proper	
Kelch 18	proper	proper	
Cmp/dcmp deaminase zinc-binding protein	proper	proper	
Aspartate beta-hydroxylase	proper	proper	
Lactonase protein	proper	proper	
Phage tail collar domain protein	proper	proper	
KLH32 protein	proper	proper	
Prophage protein	uninformative	uninformative	
Meiotic spindle formation protein mei-1 (EC 5.6.1.1) (Katanin p60 ATPase-containing subunit A1) (Katanin p60 subunit A1) (p60 katanin)	proper	proper	
Phosphatidylinositol n-acetylglucosaminyltransferase gpi3 subunit	proper	proper	
1-aminocyclopropane-1-carboxylate deaminase	proper	proper	
Phosphoethanolamine methyltransferase	proper	proper	
2OG-Fe(II) oxygenase (Modular protein)	proper	proper	
Selenoprotein O	proper	proper	
Protein containing EF-hand domain	proper	proper	
Nitric oxide reductase Q protein (NorQ)	proper	proper	
Nucleoside triphosphatase	proper	proper	
Nucleoside diphosphate-linked moiety X motif 6 (Nudix motif 6) (EC 3.6.1.-) (Antisense basic fibroblast growth factor) (Protein GFG)	proper	proper	
pullulanase (EC 3.2.1.41) (Alpha-dextrin endo-1,6-alpha-glucosidase) (Pullulan 6-glucanohydrolase)	proper	proper	
Flagellar protein FlgJ:Mannosyl-glycoprotein endo-beta-N-acetylglucosamidase	proper	proper	
Acetyltransferase (GNAT) family protein	proper	proper	
Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1 (EC 3.1.7.2) (Metazoan SpoT homolog 1) (N-acetyltransferase domain-containing protein 1) (Penta-phosphate guanosine-3'-pyrophosphohydrolase) (Protein NATD1)	proper	proper	
Putative phosphopantothenate-cysteine ligase (CTP) (EC 6.3.2.5)	proper	proper	
NR2CA protein	proper	proper	
Cell wall hydrolyses	proper	proper	
Phage related DNA polymerase	proper	proper	
Gp19 (Peptidase P60)	proper	proper	
Putative Pilus assembly protein CpaC	proper	proper	
Bacteriophage ci repressor	proper	proper	
Gamma-L-glutamyl-butirosin B gamma-glutamyl cyclotransferase (EC 4.3.2.6)	proper	proper	
Stress-induced protein	proper	proper	
DUF1249 domain-containing protein	low informative	low	
Mu-like prophage protein gp45	proper	proper	
Thioredoxin family protein	proper	proper	
Serine-type D-Ala-D-Ala carboxypeptidase	proper	proper	
Phosphoribosyl transferase domain protein	proper	proper	
5'-deoxynucleotidase VC_1978 (EC 3.1.3.89) (5'-deoxyribonucleotidase) (Nucleoside 5'-monophosphate phosphohydrolase)	proper	proper	
Putative replicative DNA helicase protein (EC 3.6.1.-)	proper	proper	
DNA gyrase inhibitor	proper	proper	
Probable chromosome partitioning protein parB	proper	proper	
Phage minor head protein (EC 2.4.2.31)	proper	proper	
ABC transporter permease	proper	proper	
Phage endodeoxyribonuclease I	proper	proper	
Xre family DNA-binding protein	proper	proper	
HTH-type transcriptional regulator XynR	proper	proper	
Asp_Arg_Hydrox-domain-containing protein	proper	low	
(+)-borneol dehydrogenase 2 (SoBDH2) (EC 1.1.1.198)	proper	proper	
Transcriptional regulator, LysR-family	proper	proper	
Pyruvate formate-lyase-activating enzyme (EC 1.97.1.4)	proper	proper	
Elongation factor Tu	proper	proper	
GTP cyclohydrolase 1 (EC 3.5.4.16) (EC 4.2.3.12) (GTP cyclohydrolase I)	proper	proper	
Uncharacterized protein LOC107457758	uninformative	uninformative	
DUF2271 domain-containing protein	low informative	low	
Putative phage-encoded protein	proper	uninformative	
Glutamine amidotransferase class-I	proper	proper	
Phosphoribosylformylglycinamidine synthase subunit PurS (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit III) (FGAR amidotransferase III) (FGAR-AT III) (Phosphoribosylformylglycinamidine synthase subunit III)	proper	proper	
Putative Phage protein	uninformative	uninformative	
LAGLIDADG 2	proper	proper	
Tail protein, putative	proper	proper	
Putative GIY-YIG catalytic domain containing protein intron encoded endonuclease	proper	proper	
Alpha-1,2-mannosidase, putative	proper	proper	
Glycosyl hydrolase family 32 N-terminal domain-containing protein	proper	proper	
Haloacid dehalogenase (EC 3.8.1.2)	proper	proper	
Phosphodiesterase	proper	proper	
Truncated kelch 13	proper	proper	
Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	proper	proper	
Putative prohibitin-related membrane protease subunit	proper	proper	
Intein/homing endonuclease	proper	proper	
Abasic site processing protein HMCES (EC 4.-.-.-) (Embryonic stem cell-specific 5-hydroxymethylcytosine-binding protein) (ES cell-specific 5hmC-binding protein) (Peptidase HMCES) (EC 3.4.-.-) (SRAP domain-containing protein 1)	proper	proper	
3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component (EC 1.18.1.3)	proper	proper	
tRNA synthetases class I catalytic domain-containing protein	proper	proper	
Phosphopantothenate--cysteine ligase 2-like isoform X2	proper	proper	
Hydrolase, haloacid dehalogenase-like family	proper	proper	
Bacteriophage lambda tail assembly I	proper	proper	
Cell division cycle protein 48-like protein	proper	proper	
Terminase large subunit-like endonuclease domain-containing protein	proper	proper	
Aminoglycoside N(6')acetyltransferase	proper	proper	
Type II methyltransferase M.TaqI (M.TaqI) (EC 2.1.1.72) (Adenine-specific methyltransferase TaqI) (Modification methylase TaqI)	proper	proper	
Curved DNA-binding protein	proper	proper	
Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipocyte-specific protein AdipoQ)	proper	proper	
Gene transfer Agent ORFG12b	proper	uninformative	
Sulfiredoxin	proper	proper	
WYL domain-containing protein	proper	proper	
Bifunctional 4'-phosphopantothenoylcysteine decarboxylase/phosphopantothenoylcysteine synthetase	proper	proper	
Core protein P7	proper	uninformative	
Tail-specific protease	proper	proper	
Putative peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase isoform X1 (EC 3.5.1.52)	proper	proper	
DUF4864 domain-containing protein	low informative	low	
MacroH2A.2 histone	proper	proper	
C1q and tumor necrosis factor-related protein-like protein 3 isoform b	proper	proper	
Anti-repressor	proper	proper	
Uncharacterized protein, isoform C	proper	uninformative	
Phage protein (TIGR02218 family)	proper	low	
(spotted green pufferfish) hypothetical protein	uninformative	uninformative	
Csm1 N-terminal domain-containing protein	proper	proper	
Invasin	proper	proper	
